StationUID,StationID,AuthorityID,BikesCapacity,ServiceType,SrcUpdateTime,UpdateTime,sna,StationName_En,longitude,latitude,GeoHash,StationAddress_Zh_tw,StationAddress_En
TPE500101001,500101001,TPE,28,2,2025-05-27T10:48:18+08:00,2025-05-27T10:48:31+08:00,YouBike2.0_捷運科技大樓站,YouBike2.0_MRT Technology Bldg. Sta.,121.5436,25.02605,wsqqmgc77,復興南路二段235號前,"No.235, Sec. 2, Fuxing S. Rd."
TPE500101002,500101002,TPE,21,2,2025-05-27T10:48:18+08:00,2025-05-27T10:48:31+08:00,YouBike2.0_復興南路二段273號前,"YouBike2.0_No.273, Sec. 2, Fuxing S. Rd.",121.54357,25.02565,wsqqmgc2f,復興南路二段273號西側,"No.273, Sec. 2, Fuxing S. Rd. (West)"
TPE500101003,500101003,TPE,28,2,2025-05-27T10:47:17+08:00,2025-05-27T10:48:31+08:00,YouBike2.0_國北教大實小東側門,YouBike2.0_NTUE Experiment Elementary School (East),121.54124,25.02429,wsqqmex9h,和平東路二段96巷7號,"No. 7, Ln. 96, Sec. 2, Heping E. Rd"
TPE500101004,500101004,TPE,11,2,2025-05-27T10:44:14+08:00,2025-05-27T10:48:31+08:00,YouBike2.0_和平公園東側,YouBike2.0_Heping Park (East),121.54282,25.02351,wsqqmg2u8,和平東路二段118巷33號,"No. 33, Ln. 118, Sec. 2, Heping E. Rd"
TPE500101005,500101005,TPE,16,2,2025-05-27T10:48:04+08:00,2025-05-27T10:48:31+08:00,YouBike2.0_辛亥復興路口西北側,YouBike2.0_Xinhai Fuxing Rd. Intersection (Northwest),121.54299,25.02153,wsqqmg0bu,復興南路二段368號,"No. 368, Sec. 2, Fuxing S. Rd."
TPE500101006,500101006,TPE,27,2,2025-05-27T10:33:15+08:00,2025-05-27T10:48:31+08:00,YouBike2.0_復興南路二段280號前,"YouBike2.0_No. 280, Sec. 2, Fuxing S. Rd.",121.54328,25.02429,wsqqmg915,復興南路二段280號,"No. 280, Sec. 2, Fuxing S. Rd."
TPE500101007,500101007,TPE,11,2,2025-05-27T10:40:03+08:00,2025-05-27T10:48:31+08:00,YouBike2.0_復興南路二段340巷口,"YouBike2.0_Ln. 340, Sec. 2, Fuxing S. Rd.",121.54326,25.02253,wsqqmg1ng,復興南路二段342號,"No. 342, Sec. 2, Fuxing S. Rd."
TPE500101008,500101008,TPE,17,2,2025-05-27T10:47:03+08:00,2025-05-27T10:48:31+08:00,YouBike2.0_新生南路三段52號前,"YouBike2.0_No. 52, Sec. 3, Xinsheng S. Rd.",121.53407,25.02112,wsqqmdfqt,新生南路三段52號,"No. 52, Sec. 3, Xinsheng S. Rd."
TPE500101009,500101009,TPE,16,2,2025-05-27T10:41:02+08:00,2025-05-27T10:48:31+08:00,YouBike2.0_新生南路三段66號前,"YouBike2.0_No. 66, Sec. 3, Xinsheng S. Rd.",121.53384,25.01976,wsqqmddnx,新生南路三段66號東側,"No. 66, Sec. 3, Xinsheng S. Rd. (East)"
TPE500101010,500101010,TPE,20,2,2025-05-27T10:48:04+08:00,2025-05-27T10:48:31+08:00,YouBike2.0_新生南路三段82號前,"YouBike2.0_No. 82, Sec. 3, Xinsheng S. Rd.",121.53361,25.01894,wsqqmdd1f,新生南路三段82號,"No. 82, Sec. 3, Xinsheng S. Rd."
